F1,F2,F3,F4,F5,F6,F7
a,news-20250818-02.html,07,0816-0816,000170044,000017757,000152287
a,news-20250825-02.html,01,0817-0817,000155124,000017205,000137919
a,news-20250825-02.html,02,0818-0818,000150025,000017900,000132125
a,news-20250825-02.html,03,0819-0819,000148083,000018060,000130023
a,news-20250825-02.html,04,0820-0820,000150695,000017638,000133057
a,news-20250825-02.html,05,0821-0821,000153273,000018609,000134664
a,news-20250825-02.html,06,0822-0822,000163030,000019809,000143221
a,news-20250825-02.html,07,0823-0823,000197771,000019195,000178576
a,news-20250901-04.html,01,0824-0824,000170482,000017046,000153436
a,news-20250901-04.html,02,0825-0825,000153155,000018239,000134916
a,news-20250901-04.html,03,0826-0826,000152963,000018569,000134394
a,news-20250901-04.html,04,0827-0827,000158347,000019925,000138422
a,news-20250901-04.html,05,0828-0828,000163832,000018322,000145510
a,news-20250901-04.html,06,0829-0829,000178884,000018380,000160504
a,news-20250901-04.html,07,0830-0830,000205473,000018024,000187449
a,news-20250908-01.html,01,0831-0831,000187753,000017378,000170375
a,news-20250908-01.html,02,0901-0901,000143333,000017946,000125387
a,news-20250908-01.html,03,0902-0902,000162333,000019028,000143305
a,news-20250908-01.html,04,0903-0903,000164263,000019360,000144903
a,news-20250908-01.html,05,0904-0904,000164314,000019529,000144785
a,news-20250908-01.html,06,0905-0905,000187396,000019498,000167898
a,news-20250908-01.html,07,0906-0906,000228918,000019081,000209837
a,news-20250915-01.html,01,0907-0907,000203617,000018743,000184874
a,news-20250915-01.html,02,0908-0908,000189156,000018593,000170563
a,news-20250915-01.html,03,0909-0909,000198813,000018684,000180129
a,news-20250915-01.html,04,0910-0910,000200802,000018542,000182260
a,news-20250915-01.html,05,0911-0911,000206871,000019343,000187528
a,news-20250915-01.html,06,0912-0912,000228057,000019894,000208163
a,news-20250915-01.html,07,0913-0913,000237426,000019296,000218130
a,news-20250922-05.html,01,0914-0914,000235280,000019068,000216212
a,news-20250922-05.html,02,0915-0915,000229551,000020900,000208651
a,news-20250922-05.html,03,0916-0916,000233900,000020283,000213617
a,news-20250922-05.html,04,0917-0917,000237600,000020762,000216838
a,news-20250922-05.html,05,0918-0918,000240449,000020561,000219888
a,news-20250922-05.html,06,0919-0919,000241390,000019814,000221576
a,news-20250922-05.html,07,0920-0920,000240671,000020363,000220308
a,news-20250929-02.html,01,0921-0921,000236113,000019608,000216505
a,news-20250929-02.html,02,0922-0922,000246819,000021486,000225333
a,news-20250929-02.html,03,0923-0923,000236373,000021093,000215280
a,news-20250929-02.html,04,0924-0924,000243093,000020894,000222199
a,news-20250929-02.html,05,0925-0925,000241793,000020330,000221463
a,news-20250929-02.html,06,0926-0926,000243642,000021515,000222127
a,news-20250929-02.html,07,0927-0927,000244970,000021643,000223327
b,news-20250421-02.html,08,0413-0419,000639875,000114938,000524937
b,news-20250428-01.html,08,0420-0426,000739780,000120654,000619126
b,news-20250505-02.html,08,0427-0503,000753699,000123059,000630640
b,news-20250512-02.html,08,0504-0510,000771530,000126724,000644806
b,news-20250526-01.html,08,0518-0524,000952056,000123376,000828680
b,news-20250602-01.html,08,0525-0531,001067841,000127663,000940178
b,news-20250609-01.html,08,0601-0607,001026533,000127086,000899447
b,news-20250616-01.html,08,0608-0614,000988268,000128656,000859612
b,news-20250623-01.html,08,0615-0621,001045964,000126163,000919801
b,news-20250630-03.html,08,0622-0628,001031021,000125406,000905615
b,news-20250721-01.html,08,0713-0719,000934689,000124324,000810365
b,news-20250728-03.html,08,0720-0726,000998563,000126353,000872210
b,news-20250804-03.html,08,0727-0802,000914741,000133918,000780823
b,news-20250811-01.html,08,0803-0809,000956501,000131560,000824941
b,news-20250818-02.html,08,0810-0816,001247862,000122855,001125007
b,news-20250825-02.html,08,0817-0823,001118001,000128416,000989585
b,news-20250901-04.html,08,0824-0830,001183136,000128505,001054631
b,news-20250908-01.html,08,0831-0906,001238310,000131820,001106490
b,news-20250915-01.html,08,0907-0913,001464742,000133095,001331647
b,news-20250922-05.html,08,0914-0920,001658841,000141751,001517090
b,news-20250929-02.html,08,0921-0927,001692803,000146569,001546234
