F1,F2,F3,F4,F5,F6,F7
a,news-20250728-03.html,07,0726-0726,000144306,000017503,000126803
a,news-20250804-03.html,01,0727-0727,000137860,000019009,000118851
a,news-20250804-03.html,02,0728-0728,000138087,000020580,000117507
a,news-20250804-03.html,03,0729-0729,000129336,000019832,000109504
a,news-20250804-03.html,04,0730-0730,000126173,000019561,000106612
a,news-20250804-03.html,05,0731-0731,000123742,000018358,000105384
a,news-20250804-03.html,06,0801-0801,000123223,000018531,000104692
a,news-20250804-03.html,07,0802-0802,000136320,000018047,000118273
b,news-20250421-02.html,08,0413-0419,000639875,000114938,000524937
b,news-20250428-01.html,08,0420-0426,000739780,000120654,000619126
b,news-20250505-02.html,08,0427-0503,000753699,000123059,000630640
b,news-20250512-02.html,08,0504-0510,000771530,000126724,000644806
b,news-20250519-01.html,08,0511-0517,000878739,000123805,000754934
b,news-20250526-01.html,08,0518-0524,000952056,000123376,000828680
b,news-20250602-01.html,08,0525-0531,001067841,000127663,000940178
b,news-20250609-01.html,08,0601-0607,001026533,000127086,000899447
b,news-20250616-01.html,08,0608-0614,000988268,000128656,000859612
b,news-20250623-01.html,08,0615-0621,001045964,000126163,000919801
b,news-20250630-03.html,08,0622-0628,001031021,000125406,000905615
b,news-20250707-01.html,08,0629-0705,000914161,000124659,000789502
b,news-20250714-03.html,08,0706-0712,000918529,000122113,000796416
b,news-20250721-01.html,08,0713-0719,000934689,000124324,000810365
b,news-20250728-03.html,08,0720-0726,000998563,000126353,000872210
b,news-20250804-03.html,08,0727-0802,000914741,000133918,000780823
