F1,F2,F3,F4,F5,F6,F7
a,news-20250428-01.html,12,0501-0501,000007740,000007740,000000000
a,news-20250428-01.html,13,0502-0502,000454949,000454949,000000000
a,news-20250428-01.html,14,0503-0503,001100685,001100685,000000000
a,news-20250428-01.html,15,0504-0504,010409460,009692401,000717059
a,news-20250505-02.html,01,0427-0427,000102015,002133354,-02031339
a,news-20250505-02.html,01,0427-0427,002133354,007965941,-05832587
a,news-20250505-02.html,01,0427-0427,007965941,010908132,-02942191
a,news-20250505-02.html,01,0427-0427,010908132,000016985,010891147
a,news-20250505-02.html,02,0428-0428,000121282,000438075,-00316793
a,news-20250505-02.html,02,0428-0428,000438075,000000000,000438075
a,news-20250505-02.html,03,0429-0429,000097559,000137136,-00039577
a,news-20250505-02.html,03,0429-0429,000137136,000000000,000137136
a,news-20250505-02.html,04,0430-0430,000101397,000136308,-00034911
a,news-20250505-02.html,04,0430-0430,000136308,000017621,000118687
a,news-20250505-02.html,05,0501-0501,000105945,000149555,-00043610
a,news-20250505-02.html,05,0501-0501,000149555,000017548,000132007
a,news-20250505-02.html,06,0502-0502,000044099,000104805,-00060706
a,news-20250505-02.html,06,0502-0502,000104805,000017741,000087064
a,news-20250505-02.html,07,0503-0503,000092479,000120696,-00028217
a,news-20250505-02.html,07,0503-0503,000120696,000017886,000102810
a,news-20250505-02.html,09,0505-0505,000062929,000023289,000039640
a,news-20250505-02.html,10,0506-0506,000004428,000004428,000000000
a,news-20250505-02.html,11,0507-0507,000222750,000222750,000000000
a,news-20250505-02.html,12,0508-0508,000007740,000007740,000000000
a,news-20250505-02.html,13,0509-0509,000454949,000454949,000000000
a,news-20250505-02.html,14,0510-0510,001100685,001100685,000000000
a,news-20250505-02.html,15,0511-0511,010908132,009692401,001215731
a,news-20250512-02.html,01,0504-0504,000136805,002904884,-02768079
a,news-20250512-02.html,01,0504-0504,002904884,008099667,-05194783
a,news-20250512-02.html,01,0504-0504,008099667,011376451,-03276784
a,news-20250512-02.html,01,0504-0504,011376451,000016289,011360162
a,news-20250512-02.html,02,0505-0505,000126371,000608856,-00482485
a,news-20250512-02.html,02,0505-0505,000608856,000000000,000608856
a,news-20250512-02.html,03,0506-0506,000076517,000199521,-00123004
a,news-20250512-02.html,03,0506-0506,000199521,000000000,000199521
a,news-20250512-02.html,04,0507-0507,000091688,000158526,-00066838
a,news-20250512-02.html,04,0507-0507,000158526,000016932,000141594
a,news-20250512-02.html,05,0508-0508,000105449,000180054,-00074605
a,news-20250512-02.html,05,0508-0508,000180054,000018578,000161476
a,news-20250512-02.html,06,0509-0509,000050116,000105782,-00055666
a,news-20250512-02.html,06,0509-0509,000105782,000019813,000085969
a,news-20250512-02.html,07,0510-0510,000107967,000128918,-00020951
a,news-20250512-02.html,07,0510-0510,000128918,000021373,000107545
a,news-20250512-02.html,09,0512-0512,000076624,000023289,000053335
a,news-20250512-02.html,10,0513-0513,000004428,000004428,000000000
a,news-20250512-02.html,11,0514-0514,000222750,000222750,000000000
a,news-20250512-02.html,12,0515-0515,000007740,000007740,000000000
a,news-20250512-02.html,13,0516-0516,000454949,000454949,000000000
a,news-20250512-02.html,14,0517-0517,001100685,001100685,000000000
a,news-20250512-02.html,15,0518-0518,011376451,009692401,001684050
a,news-20250519-01.html,01,0511-0511,000121667,003783623,-03661956
a,news-20250519-01.html,01,0511-0511,003783623,008222560,-04438937
a,news-20250519-01.html,01,0511-0511,008222560,011887867,-03665307
a,news-20250519-01.html,01,0511-0511,011887867,000018268,011869599
a,news-20250519-01.html,02,0512-0512,000117658,000802939,-00685281
a,news-20250519-01.html,02,0512-0512,000802939,000000000,000802939
a,news-20250519-01.html,03,0513-0513,000123640,000272695,-00149055
a,news-20250519-01.html,03,0513-0513,000272695,000000000,000272695
a,news-20250519-01.html,04,0514-0514,000129527,000182147,-00052620
a,news-20250519-01.html,04,0514-0514,000182147,000017668,000164479
a,news-20250519-01.html,05,0515-0515,000129456,000214560,-00085104
a,news-20250519-01.html,05,0515-0515,000214560,000017762,000196798
a,news-20250519-01.html,06,0516-0516,000057367,000132817,-00075450
a,news-20250519-01.html,06,0516-0516,000132817,000017700,000115117
a,news-20250519-01.html,07,0517-0517,000123974,000125149,-00001175
a,news-20250519-01.html,07,0517-0517,000125149,000016464,000108685
a,news-20250519-01.html,09,0519-0519,000093092,000023289,000069803
a,news-20250519-01.html,10,0520-0520,000004428,000004428,000000000
a,news-20250519-01.html,11,0521-0521,000222750,000222750,000000000
a,news-20250519-01.html,12,0522-0522,000007740,000007740,000000000
a,news-20250519-01.html,13,0523-0523,000454949,000454949,000000000
a,news-20250519-01.html,14,0524-0524,001100685,001100685,000000000
a,news-20250519-01.html,15,0525-0525,011887867,009692401,002195466
b,news-20250421-02.html,08,0413-0419,000055041,000639875,-00584834
b,news-20250421-02.html,08,0413-0419,000639875,000045003,000594872
b,news-20250428-01.html,08,0420-0426,000072830,000739780,-00666950
b,news-20250428-01.html,08,0420-0426,000739780,000045003,000694777
b,news-20250505-02.html,08,0427-0503,000091058,000753699,-00662641
b,news-20250505-02.html,08,0427-0503,000753699,000045003,000708696
b,news-20250512-02.html,08,0504-0510,000104568,000771530,-00666962
b,news-20250512-02.html,08,0504-0510,000771530,000045003,000726527
b,news-20250519-01.html,08,0511-0517,000126806,000878739,-00751933
b,news-20250519-01.html,08,0511-0517,000878739,000045003,000833736
